Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,
938,47,200,12,200,
939,43,200,36,200,
940,49,200,58,200,
941,50,200,48,200,
942,200,200,16,200,
943,200,200,200,200,
944,200,70,200,200,
945,200,11,200,200,
946,200,73,17,200,
947,200,12,123,200,
948,200,88,24,200,
949,200,12,11,200,
950,200,58,30,200,
951,113,78,106,200,
952,104,96,50,200,
953,10,18,36,200,
954,200,12,133,200,
955,200,14,77,200,
956,200,120,200,200,
957,200,96,21,200,
958,94,113,57,200,
959,17,103,200,200,
960,40,21,200,200,
961,200,34,200,200,
962,200,132,200,200,
963,200,47,200,200,
964,200,60,200,200,
965,200,132,200,200,
966,200,25,200,153,
967,200,200,200,200,
968,200,200,200,152,
969,200,65,200,27,
970,200,182,200,103,
971,200,17,200,14,
972,200,48,200,78,
973,200,66,200,11,
974,54,103,200,32,
975,200,200,200,200,
976,200,92,200,200,
977,66,200,200,200,
978,21,200,200,38,
979,200,200,200,200,
980,139,167,200,67,
981,56,98,200,200,
982,37,20,200,200,
983,22,193,200,200,
984,67,147,200,200,
985,47,63,200,200,
986,15,138,200,200,
987,41,16,200,200,
988,14,12,200,200,
989,56,29,200,200,
990,102,30,200,200,
991,79,17,200,200,
992,25,46,200,200,
993,107,27,200,200,
994,103,10,200,200,
995,46,25,200,200,
996,31,200,200,200,
997,12,78,25,200,
998,11,117,200,200,
999,200,24,14,200,
1000,200,114,11,200,
1001,200,200,86,200,
1002,200,112,29,81,
1003,47,153,12,54,
1004,200,11,22,200,
1005,23,78,21,76,
1006,200,33,10,200,
1007,200,57,131,127,
1008,200,135,48,121,
1009,200,200,117,70,
1010,200,200,82,143,
1011,200,200,56,53,
1012,200,200,200,58,
1013,200,200,200,20,
1014,200,200,200,17,
1015,200,200,65,200,
1016,200,200,200,36,
1017,200,200,200,53,
1018,200,200,200,37,
1019,200,200,200,16,
1020,200,200,200,14,
1021,200,200,200,14,
1022,200,200,200,10,
1023,200,200,200,200,
1024,200,200,200,200,
1025,200,200,200,74,
1026,200,200,200,12,
1027,200,200,200,45,
1028,200,200,200,200,
1029,200,200,200,72,
1030,200,200,200,72,
1031,200,200,200,50,
1032,200,200,200,24,
1033,200,200,200,43,
1034,200,200,200,200,
1035,200,200,200,195,
1036,200,200,200,21,
1037,200,200,200,26,
1038,200,200,200,200,
1039,89,200,200,63,
1040,200,200,200,44,
1041,15,200,200,16,
1042,10,200,200,16,
1043,53,200,200,38,
1044,60,200,200,96,
1045,22,200,200,121,
1046,77,200,47,36,
1047,200,200,30,70,
1048,200,42,200,56,
1049,116,183,127,82,
1050,74,48,26,38,
1051,171,200,200,99,
1052,90,200,200,89,
1053,15,200,44,152,
1054,31,200,200,25,
1055,53,200,92,24,
1056,14,200,74,72,
1057,12,200,200,33,
1058,39,200,200,79,
1059,24,200,75,200,
1060,26,200,22,20,
1061,76,200,15,69,
1062,200,200,64,14,
1063,200,200,30,15,
1064,200,200,118,99,
1065,21,200,44,75,
1066,200,200,200,200,
1067,200,200,17,200,
1068,200,200,200,200,
1069,200,200,101,64,
1070,200,200,128,47,
1071,200,200,40,144,
1072,200,200,159,200,
1073,200,200,200,200,
1074,200,200,160,200,
1075,200,200,157,29,
1076,200,200,200,200,
1077,200,200,170,200,
1078,200,200,200,200,
1079,200,200,182,200,
1080,200,200,15,200,
1081,200,200,19,200,
1082,39,200,28,200,
1083,50,200,86,200,
1084,200,200,41,200,
1085,200,200,38,200,
1086,46,200,200,200,
1087,200,200,200,200,
1088,77,200,134,200,
1089,34,200,200,200,
1090,200,200,200,200,
1091,32,200,200,200,
1092,200,200,200,200,
1093,147,200,200,200,
1094,31,200,200,200,
1095,28,200,200,200,
1096,25,200,200,200,
1097,20,200,200,200,
1098,94,200,200,200,
1099,200,200,200,200,
1100,14,200,200,200,
1101,200,200,200,200,
1102,200,200,200,36,
1103,64,200,200,55,
1104,26,200,200,200,
1105,12,200,200,85,
1106,200,200,200,66,
1107,12,200,188,25,
1108,51,200,81,200,
1109,200,200,200,14,
1110,56,200,200,95,
1111,43,200,200,29,
1112,15,200,75,200,
1113,21,200,82,200,
1114,102,200,200,160,
1115,200,200,200,200,
1116,200,200,12,60,
1117,200,200,81,30,
1118,200,200,132,102,
1119,200,200,73,101,
1120,200,200,56,72,
1121,200,200,19,200,
1122,200,200,28,35,
1123,200,200,57,83,
1124,200,200,92,172,
1125,200,200,10,99,
1126,200,200,200,106,
1127,200,200,200,200,
1128,200,200,200,53,
1129,200,200,200,200,
1130,200,200,200,189,
1131,115,200,200,200,
1132,80,200,200,200,
1133,19,200,200,200,
1134,10,200,200,200,
1135,34,200,200,64,
1136,12,200,200,57,
1137,200,200,200,10,
1138,30,200,200,41,
1139,26,200,200,26,
